id,name
0,C. van Amerongen (translator)
1,Judith Kerr
2,Stephen Fry
3,Helen Forrester
4,T.S. Eliot
5,Muriel Spark
6,Gerald Seymour
7,Jeffrey Archer
8,Robert Louis Stevenson
9,Aldous Huxley
10,Ellis Peters
11,Bill Bryson
12,Barns &amp; Budd
13,Elizabeth Buchan
14,Michael Dibdin
15,J. R. R. Tolkien
16,Shani Mootoo
17,William T. McLeod
18,Michael Bond
19,Mandy Stanley
20,Sue Dreamer
21,Nick Butterworth
22,Fiona Pragoff
23,Huck Scarry
24,Carolyn Keene
25,Bennett Cerf
26,Stan Berenstein
27,Marilyn Sadler
28,Mark Brown
29,Robert Lopshire
30,Seuss
31,Diane Wilmer
32,Jill Barklem
33,Robert Leeson
34,Alan Garner
35,John Verney
36,Noel Streatfeild
37,Tony Drake
38,Andrew Taylor
39,Gareth Owen
40,Ellen Miller
41,Jean Ure
42,Ian Whybrow
43,Harriet Hains
44,Jonathan Langley
45,Alison Uttley
46,Maureen Spurgeon
47,Hilda Boswell
48,P. L Travers
49,Nanette Newman
50,David Lambert
51,Pierre Averous
52,Mark Haddon
53,Lawrence Hill
54,James King
55,Maude Barlow
56,Kenneth McGoogan
57,Richard Bruce Wright
58,Barbara Gowdy
59,Frances Itani
60,Kathleen Tessaro
61,Lewis Desoto
62,Kenneth Radu
63,David Cruise
64,Archibald Lyall
65,Jane Goodall
66,C. V. Wedgwood
67,Desmond Doig
68,Lyn Hancock
69,Peter Townsend
70,Sheila Cassidy
71,Ernest G Neal
72,Stephen Potter
73,Jung Chang
74,C.S. Lewis
75,L. A. Morse
76,Fynn
77,Judith Rapoport MD
78,C. S. Lewis
79,Mikhail Sergeevich Gorbachev
80,Timothy Findley
81,Roseanne Barr
82,Philip Ziegler
83,Merrily Weisbord
84,Nuala Beck
85,Sandra Gwyn
86,Jeffrey Simpson
87,Martin Gilbert
88,Rory MacLean
89,Simon Schama
90,Margaret Cannon
91,Tom Harrisson
92,Roger Lancelyn Green
93,W L Webb
94,Mark Owens
95,Geoffrey Wansell
96,Fr̩d̩rick Leboyer
97,Simon Welfare
98,Ian Wooldridge
99,Pamela Street
100,John Fairley
101,John Wilson Murray
102,Gerald Malcolm Durrell
103,Merren Parker
104,Arthur Irwin
105,Bonnie Stern
106,Robert Hughes
107,Rosie Swale
108,Louis Mountbatten Mountbatten of Burma
109,Penina Spiegel
110,Eva Innes
111,Lew Grade
112,David Cohen
113,Rick Smolan
114,Brian Wilks
115,Nigel Mansell
116,Ian Wright
117,Ian Botham
118,Nigel Webb
119,David Attenborough
120,John G. Williams
121,Richard Bell
122,Richard Sidney Richmond Fitter
123,L. Svensson
124,Roger Tory Peterson
125,Ian Ridpath
126,Peter Hayward
127,Oliver Gilbert
128,Trevor Beebee
129,John D. Altringham
130,Michael E. N. Majerus
131,John Mitchell
132,Ann Maurice
133,Helen Macinnes
134,Geoffrey Jenkins
135,Alistair MacLean
136,Winston Graham
137,John Morris
138,Rona Randall
139,Graham Shelby
140,Rosamond Lehmann
141,Jack Higgins
142,Jonathan Wade
143,Jon Cleary
144,Thomas Armstrong
145,Howard Spring
146,Pierre La Mure
147,Victoria Holt
148,Desmond Bagley
149,Penelope Fitzgerald
150,Sheila Ross
151,Simone de Beauvoir
152,Antony Melville-Ross
153,Antony Trew
154,John Bruce
155,Margaret Craven
156,Jack Higgns
157,Morris L West
158,Michael Brown
159,Jack Higgings
160,James Leasor
161,Pamela Haines
162,Duncan Kyle
163,Stephen R Donaldson
164,Gerald Durrell
165,Eric Wilson
166,George Jonas
167,Ian St James
168,Aileen Armitage
169,Anna Murdoch
170,Der Nister
171,Fay Weldon
172,Tom Henighan
173,Bryan Forbes
174,Michael Dobbs
175,Valerie Blumenthal
176,W.P. Kinsella
177,Alistair MacNeill
178,Woodrow Wyatt
179,W. P Kinsella
180,Brian Callison
181,Thomas King
182,Anne Cameron
183,J. G Ballard
184,Clive Barker
185,Tony Hillerman
186,Joseph O'Connor
187,Diane Schoemperlen
188,Marilyn Bowering
189,Sharon Butala
190,Douglas Coupland
191,Richard B Wright
192,Len Deighton
193,Elisabeth Harvor
194,Dakota Hamilton
195,Bernard Cornwell
196,Publishers Staf Collins
197,Sara Slavin
198,Michael Patrick Collins
199,Jesse Z. Cool
200,Mark Vancil
201,Matthew Naythons
202,Ronald Reagan
203,Charles M. Schulz
204,Nick Bantock
205,Thomas Hauser
206,Claude Monet
207,Michael Shea
208,Colin Bateman
209,William Horwood
210,Philippa Gregory
211,Kingsley Amis
212,Lisa Appignanesi
213,Meera Syal
214,Martin Amis
215,Ann Oakley
216,Stephen Baxter
217,Elizabeth Elgin
218,Kelli Deeth
219,John Farrow
220,Dennis Bock
221,Charles L Grant
222,Kate O'Riordan
223,Katherine Vaz
224,George MacDonald Fraser
225,Mira Stout
226,Gretta Mulrooney
227,Iseult Teran
228,Meg Henderson
229,Sam Llewellyn
230,Magnus Mills
231,Jacquelyn Mitchard
232,Rhidian Brook
233,Jan Siegel
234,Tim Bradford
235,Christopher Wallace
236,Bill Broady
237,Geoff Ryman
238,Amitav Ghosh
239,Scott McBain
240,Dermot Bolger
241,Anna Burns
242,Tony Parsons
243,Ngaio Marsh
244,Agatha Christie
245,Catherine Aird
246,Gavin Scott
247,Andrew Garve
248,Marian Babson
249,Margaret Moore
250,Anne Infante
251,J. M. Gregson
252,Mike Ripley
253,Danuta Reah
254,Alistair MaClean
255,William Barclay
256,Mark MacNamara
